File,AvgRMSD,MaxRMSD,StdDev,DENV1,DENV2,DENV3,DENV4
denv_scaffold_1.pdb,0.1860,0.2531,0.0392,0.1651,0.1542,0.1717,0.2531
denv_scaffold_154.pdb,0.1889,0.2485,0.0370,0.1500,0.1684,0.1887,0.2485
denv_scaffold_15.pdb,0.1943,0.2627,0.0417,0.1514,0.1741,0.1892,0.2627
denv_scaffold_103.pdb,0.1975,0.2701,0.0429,0.1600,0.1737,0.1863,0.2701
denv_scaffold_87.pdb,0.1993,0.2796,0.0489,0.1496,0.1747,0.1931,0.2796
denv_scaffold_137.pdb,0.1994,0.2661,0.0396,0.1646,0.1761,0.1906,0.2661
denv_scaffold_195.pdb,0.1997,0.2709,0.0417,0.1674,0.1733,0.1871,0.2709
denv_scaffold_86.pdb,0.1999,0.2834,0.0495,0.1550,0.1745,0.1867,0.2834
denv_scaffold_147.pdb,0.2000,0.2811,0.0499,0.1475,0.1756,0.1959,0.2811
denv_scaffold_81.pdb,0.2006,0.2658,0.0413,0.1549,0.1785,0.2033,0.2658
denv_scaffold_78.pdb,0.2011,0.2745,0.0461,0.1505,0.1777,0.2018,0.2745
denv_scaffold_198.pdb,0.2014,0.2716,0.0418,0.1632,0.1788,0.1919,0.2716
denv_scaffold_111.pdb,0.2016,0.2759,0.0464,0.1509,0.1787,0.2007,0.2759
denv_scaffold_129.pdb,0.2016,0.2807,0.0488,0.1501,0.1768,0.1987,0.2807
denv_scaffold_163.pdb,0.2016,0.2688,0.0444,0.1450,0.1886,0.2040,0.2688
denv_scaffold_132.pdb,0.2020,0.2776,0.0476,0.1474,0.1831,0.2000,0.2776
denv_scaffold_152.pdb,0.2024,0.2734,0.0427,0.1614,0.1797,0.1948,0.2734
denv_scaffold_126.pdb,0.2031,0.2833,0.0474,0.1618,0.1768,0.1904,0.2833
denv_scaffold_11.pdb,0.2031,0.2700,0.0405,0.1629,0.1821,0.1975,0.2700
denv_scaffold_182.pdb,0.2033,0.2698,0.0425,0.1543,0.1832,0.2056,0.2698
