Total E proteins found: 1438
Complete E proteins (480-510 aa): 1373

ALL E PROTEINS:
BAW03239.1: 495 aa
BAW03238.1: 495 aa
BAW03237.1: 495 aa
BAW03236.1: 495 aa
BAW03234.1: 495 aa
BAW03233.1: 495 aa
BAW03232.1: 495 aa
BAW03231.1: 495 aa
ARO78001.1: 495 aa
ARO78000.1: 495 aa
ARO77999.1: 495 aa
ARO77998.1: 495 aa
ARO77997.1: 495 aa
ARO77996.1: 495 aa
ARO77995.1: 495 aa
ARO77994.1: 495 aa
ARO77993.1: 495 aa
ARO77990.1: 495 aa
ARO77988.1: 495 aa
ARO77982.1: 495 aa
ARO77981.1: 495 aa
ARO77979.1: 495 aa
ARO77978.1: 495 aa
ARO77977.1: 495 aa
ARO77976.1: 495 aa
ARO77975.1: 495 aa
ASX95581.1: 495 aa
ASX95580.1: 495 aa
ASX95578.1: 495 aa
ASX95577.1: 495 aa
ASX95576.1: 495 aa
ASX95575.1: 495 aa
ASX95574.1: 495 aa
ASX95573.1: 495 aa
ASX95572.1: 495 aa
ASX95571.1: 495 aa
ASX95570.1: 495 aa
ASX95569.1: 495 aa
AXI98989.1: 495 aa
AXI98983.1: 495 aa
AXI98980.1: 495 aa
AXI98973.1: 495 aa
AXI98972.1: 495 aa
AXI98971.1: 495 aa
AXI98969.1: 495 aa
AXI98961.1: 495 aa
AXI98960.1: 495 aa
AXI98957.1: 495 aa
AXI98955.1: 495 aa
AXI98954.1: 495 aa
AXI98951.1: 495 aa
AXI98950.1: 495 aa
AXI98949.1: 495 aa
AXI98948.1: 495 aa
AXI98947.1: 495 aa
AXI98946.1: 495 aa
AXI98945.1: 495 aa
AXI98942.1: 495 aa
AXI98941.1: 495 aa
AXI98939.1: 495 aa
AXI98938.1: 495 aa
AXI98937.1: 495 aa
AXI98936.1: 495 aa
AXI98934.1: 495 aa
AVI59162.1: 495 aa
ARX17071.1: 495 aa
ARX17070.1: 495 aa
ANN30173.1: 495 aa
ANN30170.1: 495 aa
ANN30168.1: 495 aa
ANN30165.1: 495 aa
ANN30164.1: 495 aa
BAP82401.1: 495 aa
APW79641.1: 495 aa
ANA96199.1: 495 aa
ANA96198.1: 495 aa
AHJ10496.1: 495 aa
AHJ10491.1: 495 aa
AHJ10488.1: 495 aa
AHJ10486.1: 495 aa
AHJ10485.1: 495 aa
AHJ10482.1: 495 aa
AHJ10478.1: 495 aa
AHL26135.1: 495 aa
AGW45008.1: 506 aa
AGW45004.1: 507 aa
AGW45003.1: 506 aa
AGW45002.1: 507 aa
AHC08479.1: 495 aa
AHC08477.1: 495 aa
ABV25090.1: 495 aa
ABV25088.1: 495 aa
ABV25087.1: 495 aa
ABV25084.1: 495 aa
AGF25397.1: 495 aa
AFU90145.1: 497 aa
AFU90144.1: 497 aa
AFU90142.1: 497 aa
AFU90140.1: 497 aa
AFU90138.1: 497 aa
AFS18500.1: 495 aa
AFS18498.1: 495 aa
AFS18494.1: 495 aa
ACV89858.1: 495 aa
ACV89857.1: 495 aa
ACV89855.1: 495 aa
ACV89854.1: 495 aa
AXM44212.1: 495 aa
AXM44211.1: 495 aa
AXM44208.1: 495 aa
AXM44206.1: 495 aa
AXM44205.1: 495 aa
AXM44204.1: 495 aa
AXM44203.1: 495 aa
AXM44202.1: 495 aa
AXM44201.1: 495 aa
AXM44197.1: 495 aa
AXM44196.1: 495 aa
AXM44195.1: 495 aa
AXM44194.1: 495 aa
AXM44193.1: 495 aa
AXM44192.1: 495 aa
AXM44191.1: 495 aa
AXM44190.1: 495 aa
AXM44189.1: 495 aa
AXM44188.1: 495 aa
AXM44186.1: 495 aa
AXM44185.1: 495 aa
AXM44181.1: 495 aa
AXM44180.1: 495 aa
AXA98677.1: 495 aa
AXA98676.1: 495 aa
AXA98675.1: 495 aa
ARO34423.1: 495 aa
ARO34420.1: 495 aa
ARO34418.1: 495 aa
ARO34416.1: 495 aa
ARO34412.1: 495 aa
ARO34406.1: 495 aa
ARO34405.1: 495 aa
ARO34404.1: 495 aa
AMB51345.1: 495 aa
AMB51344.1: 495 aa
AFN87869.1: 497 aa
AFN87868.1: 497 aa
AFN87867.1: 497 aa
AFN87866.1: 497 aa
AFN87863.1: 497 aa
AFN87861.1: 497 aa
AFN87860.1: 497 aa
AFN87859.1: 497 aa
AFN87857.1: 497 aa
AFN87853.1: 497 aa
AFN87850.1: 497 aa
AFN87848.1: 497 aa
AFN87846.1: 497 aa
AFN87843.1: 497 aa
AFN87842.1: 497 aa
AFN87840.1: 497 aa
AFN87833.1: 497 aa
AFN87830.1: 497 aa
AFN87829.1: 497 aa
AFN87828.1: 497 aa
AFN87827.1: 497 aa
AFN87824.1: 497 aa
AFN87823.1: 497 aa
AFN87822.1: 497 aa
AFN87819.1: 497 aa
AFN87817.1: 497 aa
AFN87814.1: 497 aa
AFN87812.1: 497 aa
AFN87810.1: 497 aa
AFN87805.1: 497 aa
AFN87804.1: 497 aa
BFP29758.1: 495 aa
BFP29757.1: 495 aa
BFP29756.1: 495 aa
BFP29755.1: 495 aa
BFP29754.1: 495 aa
BFP29752.1: 495 aa
BFP29750.1: 495 aa
BFP29749.1: 495 aa
BFP29744.1: 495 aa
BFP29743.1: 495 aa
BFP29741.1: 495 aa
BFP29740.1: 495 aa
BFP29739.1: 495 aa
BFP29738.1: 495 aa
BFP29737.1: 495 aa
BFP29736.1: 495 aa
BFP29735.1: 495 aa
BFP29730.1: 495 aa
BFP29728.1: 495 aa
BFP29725.1: 495 aa
BFP29721.1: 495 aa
BFP29719.1: 495 aa
BCG29745.1: 495 aa
BCG29744.1: 495 aa
BCG29735.1: 495 aa
BCG29731.1: 495 aa
BCG29730.1: 495 aa
BCG29727.1: 495 aa
BCG29725.1: 495 aa
BCG29720.1: 495 aa
BCG29715.1: 495 aa
CAN1644156.1: 495 aa
CAN1644152.1: 495 aa
CAN1644135.1: 495 aa
CAN1644117.1: 495 aa
CAN1644116.1: 495 aa
CAN1644115.1: 495 aa
CAN1644113.1: 495 aa
CAN1644110.1: 495 aa
CAN1644109.1: 495 aa
CAN1644091.1: 495 aa
CAN1644066.1: 495 aa
CAN1644065.1: 495 aa
pdb|4C2I|E: 495 aa
pdb|4CCT|C: 495 aa
pdb|7DWU|C: 495 aa
AXC44105.1: 536 aa
AXC44104.1: 499 aa
AXC44103.1: 517 aa
AXC44102.1: 535 aa
AXC44101.1: 537 aa
AXC44100.1: 540 aa
AXC44099.1: 516 aa
AXC44098.1: 534 aa
AXC44097.1: 535 aa
AXC44096.1: 533 aa
AXC44095.1: 543 aa
AXC44094.1: 535 aa
AXC44093.1: 540 aa
AXC44092.1: 518 aa
AXC44091.1: 527 aa
AXC44090.1: 529 aa
AXC44089.1: 517 aa
AXC44088.1: 531 aa
AXC44087.1: 534 aa
AXC44086.1: 535 aa
AXC44085.1: 533 aa
AXC44083.1: 534 aa
AXC44081.1: 524 aa
AXC44080.1: 520 aa
